,name,Rank,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,firstReleaseDate,topCriticScore
0,Animal Crossing: New Horizons,8,03,2020,30832827,455308,244171,4403,40068,41497,612,67.72,2020-03-20,90
1,Animal Crossing: New Horizons,15,04,2020,22494164,519504,130992,1759,38121,31285,722,43.3,2020-03-20,90
2,Animal Crossing: New Horizons,24,05,2020,10150782,306001,58370,862,25999,13661,411,33.17,2020-03-20,90
3,Animal Crossing: New Horizons,41,06,2020,4530366,169253,24104,541,17257,6300,235,26.77,2020-03-20,90
4,Animal Crossing: New Horizons,52,07,2020,3878213,156666,43056,681,16671,5219,210,24.75,2020-03-20,90
5,Animal Crossing: New Horizons,74,08,2020,2236186,109126,16121,429,12106,3009,146,20.49,2020-03-20,90
6,Animal Crossing: New Horizons,81,09,2020,1742818,86404,13635,338,10010,2423,120,20.17,2020-03-20,90
7,Animal Crossing: New Horizons,74,10,2020,2293166,101095,26031,481,12448,3086,136,22.68,2020-03-20,90
8,Animal Crossing: New Horizons,77,11,2020,2160767,92073,28416,534,11072,3005,128,23.47,2020-03-20,90
9,Animal Crossing: New Horizons,71,12,2020,2586079,107247,38420,337,13072,3480,144,24.11,2020-03-20,90
10,Animal Crossing: New Horizons,74,01,2021,2467615,109758,17645,527,12818,3321,147,22.48,2020-03-20,90
11,Animal Crossing: New Horizons,79,02,2021,2307963,100548,34340,405,12147,3439,149,22.95,2020-03-20,90
12,Animal Crossing: New Horizons,68,03,2021,3229642,132563,14763,361,15316,4346,178,24.36,2020-03-20,90
13,Animal Crossing: New Horizons,80,04,2021,2770857,111565,34398,289,13040,3853,155,24.84,2020-03-20,90
14,Animal Crossing: New Horizons,102,05,2021,2009361,88544,35431,214,10123,2704,119,22.69,2020-03-20,90
15,Animal Crossing: New Horizons,110,06,2021,1552730,69737,22457,192,8090,2159,96,22.27,2020-03-20,90
16,Animal Crossing: New Horizons,139,07,2021,1243073,62299,7160,158,7032,1673,83,19.95,2020-03-20,90
17,Animal Crossing: New Horizons,139,08,2021,1206544,62015,5866,140,6718,1623,83,19.46,2020-03-20,90
18,Animal Crossing: New Horizons,137,09,2021,1193858,58823,15280,143,6183,1660,81,20.3,2020-03-20,90
19,Astral Chain,128,08,2019,467780,10554,30811,391,2092,629,14,44.32,2019-08-30,87
20,Astral Chain,81,09,2019,875207,31579,28180,240,3352,1217,43,27.71,2019-08-30,87
21,Celeste,74,02,2018,708705,20863,30194,98,3212,1056,31,33.97,2018-01-25,92
22,Celeste,130,03,2018,331898,12945,6524,51,2143,446,17,25.64,2018-01-25,92
23,Celeste,157,04,2018,298679,8569,10599,31,1490,415,11,34.86,2018-01-25,92
24,Celeste,176,07,2018,305307,11888,16584,40,1832,410,16,25.68,2018-01-25,92
25,Celeste,115,01,2019,706278,22740,170522,84,5016,950,30,31.06,2018-01-25,92
26,Celeste,197,02,2019,223978,11618,15785,46,2294,333,17,19.28,2018-01-25,92
27,Celeste,139,09,2019,415069,32004,21818,222,6406,577,44,12.97,2018-01-25,92
28,Celeste,192,12,2019,289854,14029,5445,57,2997,390,18,20.66,2018-01-25,92
29,Crusader Kings III,27,09,2020,7873053,102886,64778,803,8814,10950,143,76.52,2020-09-01,90
30,Crusader Kings III,138,10,2020,902347,31995,31883,135,2995,1214,43,28.2,2020-09-01,90
31,Cuphead,37,09,2017,1605347,21352,106835,900,8153,2232,29,75.18,2017-09-29,88
32,Cuphead,16,10,2017,6455811,175435,73764,808,46329,8688,236,36.8,2017-09-29,88
33,Cuphead,90,11,2017,618643,40760,10776,174,13488,860,56,15.18,2017-09-29,88
34,Cuphead,119,12,2017,375553,28732,10750,97,10501,505,38,13.07,2017-09-29,88
35,Cuphead,154,01,2018,286296,26583,8138,87,8844,385,35,10.77,2017-09-29,88
36,Cuphead,160,06,2018,340772,11511,179901,51,4486,473,16,29.6,2017-09-29,88
37,Cuphead,186,07,2018,281690,13779,13372,43,4657,379,18,20.44,2017-09-29,88
38,Cuphead,116,01,2019,679669,10156,184477,40,3504,914,13,66.92,2017-09-29,88
39,Cuphead,166,02,2020,438929,10223,25564,40,3256,631,14,42.94,2017-09-29,88
40,Cuphead,196,08,2020,514856,43208,12690,165,8801,692,58,11.92,2017-09-29,88
41,Cuphead,132,12,2020,1056322,37553,88216,119,8998,1421,50,28.13,2017-09-29,88
42,Cuphead,186,01,2021,644974,42554,132109,119,9828,868,57,15.16,2017-09-29,88
43,Cuphead,197,02,2021,614312,32868,18368,114,7997,915,48,18.69,2017-09-29,88
